39.9,3.12288,1,88.2972,28.2743
40,3.10873,1,87.8972,28.2743
40.1,3.09458,1,87.4972,28.2743
40.2,3.08043,1,87.0972,28.2743
40.3,3.06629,1,86.6972,28.2743
40.4,3.05214,1,86.2972,28.2743
40.5,3.03799,1,85.8972,28.2743
40.6,3.02385,1,85.4972,28.2743
40.7,3.0097,1,85.0972,28.2743
40.7999,2.99555,1,84.6972,28.2743
40.8999,2.9814,1,84.2972,28.2743
40.9999,2.96726,1,83.8972,28.2743
41.0999,2.95311,1,83.4972,28.2743
41.1999,2.93896,1,83.0972,28.2743
41.2999,2.92482,1,82.6972,28.2743
41.3999,2.91067,1,82.2972,28.2743
41.4999,2.89652,1,81.8972,28.2743
41.5999,2.88237,1,81.4972,28.2743
41.6999,2.86823,1,81.0972,28.2743
41.7999,2.85408,1,80.6972,28.2743
41.8999,2.83993,1,80.2972,28.2743
41.9999,2.82579,1,79.8972,28.2743
42.0999,2.81164,1,79.4972,28.2743
42.1999,2.79749,1,79.0972,28.2743
42.2999,2.78334,1,78.6972,28.2743
42.3999,2.7692,1,78.2972,28.2743
42.4999,2.75505,1,77.8972,28.2743
42.5999,2.7409,1,77.4972,28.2743
42.6999,2.72676,1,77.0972,28.2743
42.7999,2.71261,1,76.6972,28.2743
42.8999,2.69846,1,76.2972,28.2743
42.9999,2.68431,1,75.8972,28.2743
43.0999,2.67017,1,75.4972,28.2743
43.1999,2.65602,1,75.0972,28.2743
43.2999,2.64187,1,74.6972,28.2743
43.3999,2.62773,1,74.2972,28.2743
43.4999,2.61358,1,73.8972,28.2743
43.5999,2.59943,1,73.4972,28.2743
43.6999,2.58528,1,73.0972,28.2743
43.7999,2.57114,1,72.6972,28.2743
43.8999,2.55699,1,72.2972,28.2743
43.9999,2.54284,1,71.8972,28.2743
44.0999,2.5287,1,71.4972,28.2743
44.1999,2.51455,1,71.0972,28.2743
44.2999,2.5004,1,70.6972,28.2743
44.3999,2.48625,1,70.2972,28.2743
44.4999,2.47211,1,69.8972,28.2743
44.5999,2.45796,1,69.4972,28.2743
44.6999,2.44381,1,69.0972,28.2743
44.7999,2.42967,1,68.6972,28.2743
44.8999,2.41552,1,68.2972,28.2743
44.9999,2.40137,1,67.8972,28.2743
45.0999,2.38722,1,67.4972,28.2743
45.1999,2.37308,1,67.0972,28.2743
45.2999,2.35893,1,66.6972,28.2743
45.3999,2.34478,1,66.2972,28.2743
45.4999,2.33064,1,65.8972,28.2743
45.5999,2.31649,1,65.4972,28.2743
45.6999,2.30234,1,65.0972,28.2743
45.7999,2.28819,1,64.6972,28.2743
45.8999,2.27405,1,64.2971,28.2743
45.9999,2.2599,1,63.8971,28.2743
46.0999,2.24575,1,63.4971,28.2743
46.1999,2.23161,1,63.0971,28.2743
46.2999,2.21746,1,62.6971,28.2743
46.3999,2.20331,1,62.2971,28.2743
46.4999,2.18916,1,61.8971,28.2743
46.5999,2.17502,1,61.4971,28.2743
46.6999,2.16087,1,61.0971,28.2743
46.7999,2.14672,1,60.6971,28.2743
46.8999,2.13257,1,60.2971,28.2743
46.9999,2.11843,1,59.8971,28.2743
47.0999,2.10428,1,59.4971,28.2743
47.1999,2.09013,1,59.0971,28.2743
47.2999,2.07599,1,58.6971,28.2743
47.3998,2.06184,1,58.2971,28.2743
47.4998,2.04769,1,57.8971,28.2743
47.5998,2.03354,1,57.4971,28.2743
47.6998,2.0194,1,57.0971,28.2743
47.7998,2.00525,1,56.6971,28.2743
47.8998,1.9911,1,56.2971,28.2743
47.9998,1.97696,1,55.8971,28.2743
48.0998,1.96281,1,55.4971,28.2743
48.1998,1.94866,1,55.0971,28.2743
48.2998,1.93451,1,54.6971,28.2743
48.3998,1.92037,1,54.2971,28.2743
48.4998,1.90622,1,53.8971,28.2743
48.5998,1.89207,1,53.4971,28.2743
48.6998,1.87793,1,53.0971,28.2743
48.7998,1.86378,1,52.6971,28.2743
48.8998,1.84963,1,52.2971,28.2743
48.9998,1.83548,1,51.8971,28.2743
49.0998,1.82134,1,51.4971,28.2743
49.1998,1.80719,1,51.0971,28.2743
49.2998,1.79304,1,50.6971,28.2743
49.3998,1.7789,1,50.2971,28.2743
49.4998,1.76475,1,49.8971,28.2743
49.5998,1.7506,1,49.4971,28.2743
49.6998,1.73645,1,49.0971,28.2743
49.7998,1.72231,1,48.6971,28.2743
49.8998,1.70816,1,48.2971,28.2743
49.9998,1.69401,1,47.8971,28.2743
50.0998,1.67987,1,47.4971,28.2743
50.1998,1.66572,1,47.0971,28.2743
